Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.8,-69.6,0.0,top
C2,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.8,-62.6,180.0,top
C3,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,128.2,-68.3,90.0,top
C4,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,142.7,-70.75,0.0,top
C5,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,143.2,-63.0,180.0,top
C6,120u,CP_Elec_6.3x5.8,134.55,-58.2,180.0,top
J1,Conn_Coaxial_x2,BNC_Win_364A2x95_Horizontal,123.612,-52.5,90.0,top
J2,Conn_Coaxial_x2,BNC_Win_364A2x95_Horizontal,146.95,-52.5,-90.0,top
J3,USB_B_Mini,USB_Mini-B_Wuerth_65100516121_Horizontal,114.975,-71.6,-90.0,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,135.67,-73.8,90.0,top
J5,USB_A,USB_A_Connfly_DS1095,149.8165,-70.2,90.0,top
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.4,-78.2,0.0,top
U1,~,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,134.971,-66.925,180.0,top
U2,AP2112K-3.3,SOT-23-5_HandSoldering,123.8,-66.1,270.0,top
U3,AP22804AW5,SOT-23-5,142.8,-66.95,90.0,top
